profile,snr_db,algorithm,ber,fer,avg_iterations
custom,4.50,conventional,2.30468750e-02,1.00000000e+00,18.0000
custom,4.50,rmas1,7.71484375e-03,8.00000000e-01,7.6500
custom,4.50,rmas2,4.39453125e-03,7.00000000e-01,6.8000
custom,4.50,as,1.39648438e-02,9.00000000e-01,14.5500
custom,5.00,conventional,2.34375000e-02,8.00000000e-01,15.0000
custom,5.00,rmas1,3.02734375e-03,6.00000000e-01,4.9000
custom,5.00,rmas2,2.63671875e-03,4.50000000e-01,4.7000
custom,5.00,as,9.08203125e-03,7.00000000e-01,10.7500
custom,5.50,conventional,1.66992188e-02,7.50000000e-01,10.4000
custom,5.50,rmas1,2.14843750e-03,4.50000000e-01,1.7500
custom,5.50,rmas2,1.56250000e-03,3.00000000e-01,1.3000
custom,5.50,as,4.39453125e-03,5.50000000e-01,7.7500
custom,6.00,conventional,2.73437500e-03,5.00000000e-01,8.8000
custom,6.00,rmas1,1.36718750e-03,3.50000000e-01,1.3000
custom,6.00,rmas2,5.85937500e-04,1.00000000e-01,1.0000
custom,6.00,as,2.44140625e-03,3.00000000e-01,6.0000
custom,6.50,conventional,1.46484375e-03,2.50000000e-01,5.3000
custom,6.50,rmas1,5.85937500e-04,1.50000000e-01,1.0500
custom,6.50,rmas2,1.95312500e-04,5.00000000e-02,1.0500
custom,6.50,as,1.07421875e-03,1.50000000e-01,2.7500
custom,7.00,conventional,7.81250000e-04,2.50000000e-01,3.9000
custom,7.00,rmas1,3.90625000e-04,1.00000000e-01,1.0500
custom,7.00,rmas2,0.00000000e+00,0.00000000e+00,1.0000
custom,7.00,as,1.95312500e-04,5.00000000e-02,1.7000
ieee_80211n_r12,4.50,conventional,5.15432099e-02,1.00000000e+00,20.0000
ieee_80211n_r12,4.50,rmas1,4.13580247e-02,1.00000000e+00,3.4000
ieee_80211n_r12,4.50,rmas2,4.25154321e-02,1.00000000e+00,5.0000
ieee_80211n_r12,4.50,as,6.14197531e-02,1.00000000e+00,20.0000
ieee_80211n_r12,5.00,conventional,3.96604938e-02,1.00000000e+00,19.0500
ieee_80211n_r12,5.00,rmas1,3.32561728e-02,1.00000000e+00,4.1500
ieee_80211n_r12,5.00,rmas2,3.10956790e-02,1.00000000e+00,6.0500
ieee_80211n_r12,5.00,as,4.72993827e-02,1.00000000e+00,18.5000
ieee_80211n_r12,5.50,conventional,3.24845679e-02,1.00000000e+00,19.1500
ieee_80211n_r12,5.50,rmas1,2.30709877e-02,1.00000000e+00,4.0000
ieee_80211n_r12,5.50,rmas2,2.36882716e-02,1.00000000e+00,2.2000
ieee_80211n_r12,5.50,as,3.68827160e-02,1.00000000e+00,18.1500
ieee_80211n_r12,6.00,conventional,2.47685185e-02,1.00000000e+00,19.3500
ieee_80211n_r12,6.00,rmas1,1.58950617e-02,1.00000000e+00,1.0000
ieee_80211n_r12,6.00,rmas2,1.50462963e-02,1.00000000e+00,2.3500
ieee_80211n_r12,6.00,as,3.10185185e-02,1.00000000e+00,19.2500
ieee_80211n_r12,6.50,conventional,1.92129630e-02,1.00000000e+00,19.1500
ieee_80211n_r12,6.50,rmas1,1.00308642e-02,9.50000000e-01,3.1000
ieee_80211n_r12,6.50,rmas2,9.10493827e-03,1.00000000e+00,1.2000
ieee_80211n_r12,6.50,as,2.22222222e-02,9.50000000e-01,16.4000
ieee_80211n_r12,7.00,conventional,1.29629630e-02,1.00000000e+00,16.2500
ieee_80211n_r12,7.00,rmas1,5.70987654e-03,9.00000000e-01,1.0000
ieee_80211n_r12,7.00,rmas2,6.48148148e-03,9.50000000e-01,1.0000
ieee_80211n_r12,7.00,as,1.44290123e-02,9.50000000e-01,12.7500
ieee_80211n_r23,4.50,conventional,3.16358025e-02,1.00000000e+00,19.7500
ieee_80211n_r23,4.50,rmas1,2.31481481e-02,1.00000000e+00,4.1000
ieee_80211n_r23,4.50,rmas2,2.22222222e-02,1.00000000e+00,1.2000
ieee_80211n_r23,4.50,as,3.85030864e-02,1.00000000e+00,17.5000
ieee_80211n_r23,5.00,conventional,2.51543210e-02,1.00000000e+00,19.7500
ieee_80211n_r23,5.00,rmas1,1.70524691e-02,1.00000000e+00,2.1000
ieee_80211n_r23,5.00,rmas2,1.70524691e-02,1.00000000e+00,2.1000
ieee_80211n_r23,5.00,as,3.45679012e-02,1.00000000e+00,15.2000
ieee_80211n_r23,5.50,conventional,1.73611111e-02,1.00000000e+00,19.3500
ieee_80211n_r23,5.50,rmas1,1.14969136e-02,1.00000000e+00,2.0000
ieee_80211n_r23,5.50,rmas2,1.25000000e-02,1.00000000e+00,1.1500
ieee_80211n_r23,5.50,as,2.25308642e-02,9.50000000e-01,16.2500
ieee_80211n_r23,6.00,conventional,2.02160494e-02,1.00000000e+00,13.1000
ieee_80211n_r23,6.00,rmas1,6.32716049e-03,9.00000000e-01,1.0500
ieee_80211n_r23,6.00,rmas2,7.56172840e-03,1.00000000e+00,1.1500
ieee_80211n_r23,6.00,as,2.02932099e-02,9.50000000e-01,8.1000
ieee_80211n_r23,6.50,conventional,1.10339506e-02,1.00000000e+00,14.6000
ieee_80211n_r23,6.50,rmas1,3.31790123e-03,7.00000000e-01,2.0000
ieee_80211n_r23,6.50,rmas2,4.62962963e-03,8.50000000e-01,1.2500
ieee_80211n_r23,6.50,as,1.45833333e-02,9.00000000e-01,7.5500
ieee_80211n_r23,7.00,conventional,1.19598765e-02,9.00000000e-01,11.0500
ieee_80211n_r23,7.00,rmas1,2.16049383e-03,4.50000000e-01,1.0000
ieee_80211n_r23,7.00,rmas2,1.69753086e-03,5.00000000e-01,1.0000
ieee_80211n_r23,7.00,as,6.71296296e-03,7.00000000e-01,7.4000
ieee_80211n_r34,4.50,conventional,2.19135802e-02,1.00000000e+00,18.4000
ieee_80211n_r34,4.50,rmas1,1.81327160e-02,1.00000000e+00,2.1000
ieee_80211n_r34,4.50,rmas2,1.81327160e-02,1.00000000e+00,2.2500
ieee_80211n_r34,4.50,as,3.72685185e-02,1.00000000e+00,14.4500
ieee_80211n_r34,5.00,conventional,2.33796296e-02,1.00000000e+00,16.8000
ieee_80211n_r34,5.00,rmas1,1.13425926e-02,1.00000000e+00,2.0500
ieee_80211n_r34,5.00,rmas2,1.14969136e-02,1.00000000e+00,2.0500
ieee_80211n_r34,5.00,as,2.50000000e-02,1.00000000e+00,13.9500
ieee_80211n_r34,5.50,conventional,1.80555556e-02,1.00000000e+00,14.4000
ieee_80211n_r34,5.50,rmas1,6.40432099e-03,9.00000000e-01,2.0500
ieee_80211n_r34,5.50,rmas2,6.63580247e-03,1.00000000e+00,1.1000
ieee_80211n_r34,5.50,as,1.87500000e-02,1.00000000e+00,9.5000
ieee_80211n_r34,6.00,conventional,1.59722222e-02,1.00000000e+00,13.7000
ieee_80211n_r34,6.00,rmas1,3.78086420e-03,7.50000000e-01,2.0000
ieee_80211n_r34,6.00,rmas2,4.47530864e-03,1.00000000e+00,1.0000
ieee_80211n_r34,6.00,as,1.30401235e-02,9.00000000e-01,6.1500
ieee_80211n_r34,6.50,conventional,8.25617284e-03,9.00000000e-01,13.4500
ieee_80211n_r34,6.50,rmas1,1.85185185e-03,5.00000000e-01,1.0000
ieee_80211n_r34,6.50,rmas2,2.16049383e-03,5.00000000e-01,1.0000
ieee_80211n_r34,6.50,as,1.46604938e-02,7.00000000e-01,3.0500
ieee_80211n_r34,7.00,conventional,9.56790123e-03,6.00000000e-01,5.2000
ieee_80211n_r34,7.00,rmas1,1.31172840e-03,4.00000000e-01,1.9500
ieee_80211n_r34,7.00,rmas2,6.17283951e-04,1.50000000e-01,1.1000
ieee_80211n_r34,7.00,as,4.32098765e-03,4.50000000e-01,2.6000
