snr_db,algorithm,ber,fer,avg_iterations
4.50,conventional,1.81640625e-03,8.66666667e-02,4.9433
4.50,rmas1,1.34765625e-03,5.00000000e-02,3.1300
4.50,rmas2,1.06770833e-03,4.66666667e-02,2.8000
4.50,as,2.33723958e-03,8.66666667e-02,4.8700
5.00,conventional,2.27864583e-04,1.33333333e-02,2.4667
5.00,rmas1,5.20833333e-05,3.33333333e-03,1.6333
5.00,rmas2,1.82291667e-04,6.66666667e-03,1.3767
5.00,as,3.97135417e-04,1.66666667e-02,2.4100
5.50,conventional,0.00000000e+00,0.00000000e+00,1.4400
5.50,rmas1,0.00000000e+00,0.00000000e+00,1.0600
5.50,rmas2,0.00000000e+00,0.00000000e+00,1.0133
5.50,as,0.00000000e+00,0.00000000e+00,1.4200
6.00,conventional,0.00000000e+00,0.00000000e+00,1.1733
6.00,rmas1,0.00000000e+00,0.00000000e+00,1.0133
6.00,rmas2,0.00000000e+00,0.00000000e+00,1.0000
6.00,as,0.00000000e+00,0.00000000e+00,1.1833
6.50,conventional,0.00000000e+00,0.00000000e+00,1.0500
6.50,rmas1,0.00000000e+00,0.00000000e+00,1.0000
6.50,rmas2,0.00000000e+00,0.00000000e+00,1.0000
6.50,as,0.00000000e+00,0.00000000e+00,1.0467
7.00,conventional,0.00000000e+00,0.00000000e+00,1.0033
7.00,rmas1,0.00000000e+00,0.00000000e+00,1.0033
7.00,rmas2,0.00000000e+00,0.00000000e+00,1.0000
7.00,as,0.00000000e+00,0.00000000e+00,1.0033
